"Vague","S1. genre","S2. âge","S3. Zone géo","Région","Département","S7b. Taille commune","q5. Certitude/hypothèse impact effet de serre","q11. Solutions changement climatique","q18_i1. Causes GES activités industrielles","q18_i2. Causes GES transports","q18_i3. Causes GES bâtiments","q18_i4. Causes GES agriculture","q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel","q18_i6. Causes GES traitement des déchets","q18_i7. Causes GES destruction des forêts","q18_i8. Causes GES centrales nucléaires","q18_i9. Causes GES activité volcanique","q18_i10. Causes GES bombes aérosols","s13. Nb membres foyer","s15. Diplôme","s17. Type habitat","s18. Statut locataire/propriétaire","s22. Mode de transport","s25. Sympathie mouvements écologistes","poids","age"
"Vague 08","Un homme","65 ans et +","Nord Ouest","Bretagne","Finistère","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Assez","Peu","Beaucoup","Assez","Beaucoup","Peu","Pas du tout","Assez","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.132241","71"
"Vague 08","Un homme","18-24 ans","Sud Est","Auvergne - Rhône - Alpes","Puy-de-Dôme","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Peu","Pas du tout","Beaucoup","Peu","Peu","Assez","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.0893908","21"
"Vague 08","Une femme","35-49 ans","Nord Ouest","Bretagne","Ille-et-Vilaine","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","No rep.","Beaucoup","Assez","Peu","Beaucoup","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8467606","35"
"Vague 08","Une femme","25-34 ans","Nord Est","Nord - Pas de Calais - Picardie","Aisne","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.9162016","30"
"Vague 08","Une femme","50-64 ans","Sud Est","Auvergne - Rhône - Alpes","Isère","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","No rep.","Beaucoup","No rep.","Peu","Peu","No rep.","Beaucoup","No rep.","Assez","Assez","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.2304066","53"
"Vague 08","Une femme","65 ans et +","Nord Est","Bourgogne - Franche - Comté","Saône-et-Loire","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Assez","Pas du tout","Beaucoup","Peu","Pas du tout","No rep.","Peu","Beaucoup","2 personnes","No rep.","Un appartement","Locataire","En vélo ou à pied","...pas de sympathie du tout ?","0.9566958","77"
"Vague 08","Un homme","50-64 ans","Nord Ouest","Bretagne","Ille-et-Vilaine","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Peu","Peu","Beaucoup","Peu","Peu","Assez","2 personnes","CAP - BEP","No rep.","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","No rep.","1.2946891","60"
"Vague 08","Une femme","35-49 ans","Nord Ouest","Bretagne","Morbihan","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5548954","42"
"Vague 08","Une femme","35-49 ans","Ile de France","Ile de France","Val-d'Oise","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Pas du tout","Assez","Pas du tout","Pas du tout","Assez","Peu","Pas du tout","Assez","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8592646","49"
"Vague 08","Une femme","18-24 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","Assez","Pas du tout","Assez","Assez","Beaucoup","Beaucoup","Pas du tout","Peu","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.2185667","23"
"Vague 08","Une femme","35-49 ans","Nord Ouest","Aquitaine - Limousin - Poitou - Charente","Deux-Sèvres","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Pas du tout","Pas du tout","Pas du tout","Peu","Pas du tout","Beaucoup","Pas du tout","No rep.","No rep.","Pas du tout","3 personnes","CAP - BEP","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.7569017","40"
"Vague 08","Une femme","25-34 ans","Nord Ouest","Pays de la Loire","Loire-Atlantique","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Pas du tout","Assez","Pas du tout","Assez","Assez","Assez","Pas du tout","Assez","Pas du tout","Pas du tout","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.6095048","28"
"Vague 08","Un homme","65 ans et +","Nord Ouest","Bretagne","Morbihan","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Peu","Peu","Assez","Peu","Beaucoup","Pas du tout","Beaucoup","Beaucoup","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.0805075","73"
"Vague 08","Un homme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Beaucoup","Assez","Assez","Beaucoup","Assez","Assez","Pas du tout","No rep.","Peu","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...beaucoup de sympathie ?","1.152485","75"
"Vague 08","Une femme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Assez","Beaucoup","Assez","Peu","Assez","Beaucoup","Peu","Beaucoup","Beaucoup","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","No rep.","...beaucoup de sympathie ?","1.2602473","65"
"Vague 08","Un homme","65 ans et +","Nord Ouest","Pays de la Loire","Loire-Atlantique","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","Assez","Beaucoup","Assez","Assez","Beaucoup","Pas du tout","Pas du tout","No rep.","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...peu de sympathie ?","1.0805075","68"
"Vague 08","Un homme","15-17 ans","Nord Ouest","Bretagne","Morbihan","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Pas du tout","Peu","Beaucoup","Peu","No rep.","4 personnes et +","No rep.","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","No rep.","0.6558398","15"
"Vague 08","Un homme","65 ans et +","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1.0660347","67"
"Vague 08","Une femme","50-64 ans","Nord Ouest","Aquitaine - Limousin - Poitou - Charente","Charente-Maritime","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8425372","62"
"Vague 08","Une femme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Landes","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Assez","Beaucoup","Assez","Peu","Beaucoup","1 personne","BEPC, BREVET DES COLLEGES","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...beaucoup de sympathie ?","0.7934725","75"
"Vague 08","Une femme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Haute-Garonne","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Beaucoup","Assez","Beaucoup","Peu","Beaucoup","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.7985959","60"
"Vague 08","Une femme","18-24 ans","Nord Ouest","Pays de la Loire","Sarthe","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","2 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.5446457","23"
"Vague 08","Un homme","25-34 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Aveyron","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","No rep.","No rep.","Peu","No rep.","Peu","Beaucoup","No rep.","No rep.","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.6584147","31"
"Vague 08","Une femme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Hautes-Pyrénées","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","Assez","Assez","Beaucoup","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.9843547","65"
"Vague 08","Une femme","50-64 ans","Nord Ouest","Bretagne","Finistère","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","2 personnes","BEPC, BREVET DES COLLEGES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8425372","61"
"Vague 08","Une femme","35-49 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Lot-et-Garonne","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Peu","Beaucoup","Beaucoup","No rep.","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","No rep.","0.9655505","36"
"Vague 08","Une femme","35-49 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","Assez","Peu","Assez","Assez","Assez","Assez","Peu","Assez","1 personne","CAP - BEP","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.6407296","37"
"Vague 08","Un homme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Pyrénées-Atlantiques","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Peu","Beaucoup","Assez","Pas du tout","Peu","Peu","Peu","Beaucoup","Peu","Assez","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.9203412","19"
"Vague 08","Une femme","65 ans et +","Sud Est","Corse","Corse","Dans une ville de 20.000 à moins de 100.000 habitants","No rep.","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","No rep.","Beaucoup","Beaucoup","Peu","Beaucoup","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1075171","65"
"Vague 08","Une femme","35-49 ans","Nord Ouest","Pays de la Loire","Mayenne","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Assez","No rep.","Pas du tout","Assez","Assez","Beaucoup","Assez","No rep.","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.086557","47"
"Vague 08","Une femme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Lot-et-Garonne","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Peu","1 personne","No rep.","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...pas de sympathie du tout ?","0.7430019","69"
"Vague 08","Un homme","25-34 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Assez","2 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1.2644882","28"
"Vague 08","Un homme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Dordogne","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Assez","Peu","Peu","Peu","Beaucoup","Pas du tout","Peu","No rep.","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.8959741","69"
"Vague 08","Un homme","25-34 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Gers","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Peu","Pas du tout","Beaucoup","3 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.5063186","28"
"Vague 08","Une femme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Landes","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","No rep.","No rep.","Beaucoup","Peu","No rep.","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.9205107","65"
"Vague 08","Une femme","35-49 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Lot-et-Garonne","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Peu","Beaucoup","Beaucoup","Peu","No rep.","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.9655505","40"
"Vague 08","Un homme","65 ans et +","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Tarn","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","2 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...assez de sympathie ?","0.8959741","70"
"Vague 08","Une femme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Vaucluse","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","No rep.","Beaucoup","Beaucoup","Peu","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Peu","2 personnes","No rep.","No rep.","No rep.","No rep.","No rep.","1.1075171","77"
"Vague 08","Un homme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Var","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Pas du tout","Beaucoup","No rep.","Assez","Beaucoup","Pas du tout","No rep.","Pas du tout","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1.152485","79"
"Vague 08","Une femme","25-34 ans","Sud Est","Provence - Alpes - Côte d'Azur","Vaucluse","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Peu","Peu","Beaucoup","Peu","Peu","4 personnes et +","No rep.","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","1.2056521","28"
"Vague 08","Une femme","50-64 ans","Sud Est","Provence - Alpes - Côte d'Azur","Vaucluse","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Beaucoup","Peu","Assez","Pas du tout","Peu","Assez","Beaucoup","Assez","Assez","1 personne","No rep.","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.7262557","62"
"Vague 08","Une femme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Vaucluse","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Assez","Pas du tout","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","1 personne","CAP - BEP","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","0.9578143","75"
"Vague 08","Une femme","25-34 ans","Sud Est","Provence - Alpes - Côte d'Azur","Var","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","No rep.","Beaucoup","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.3909223","27"
"Vague 08","Une femme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Var","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","Assez","Pas du tout","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...pas de sympathie du tout ?","1.105359","81"
"Vague 08","Une femme","50-64 ans","Sud Est","Provence - Alpes - Côte d'Azur","Vaucluse","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","Peu","Assez","Beaucoup","Assez","Peu","Beaucoup","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","No rep.","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.9633031","61"
"Vague 08","Une femme","25-34 ans","Ile de France","Ile de France","Val-de-Marne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Assez","Assez","Beaucoup","Peu","Beaucoup","4 personnes et +","CAP - BEP","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1122288","34"
"Vague 08","Une femme","65 ans et +","Ile de France","Ile de France","Essonne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.1465639","72"
"Vague 08","Un homme","25-34 ans","Ile de France","Ile de France","Seine-Saint-Denis","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Peu","Peu","Pas du tout","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Pas du tout","4 personnes et +","BEPC, BREVET DES COLLEGES","Un appartement","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.4202741","25"
"Vague 08","Une femme","65 ans et +","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","Assez","Beaucoup","Assez","Beaucoup","Assez","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Un appartement","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.1465639","77"
